intervention_key,intervention_name,scope,parameter_group,parameter_name,value_min,value_mode,value_max,primary_citation,evidence_level,notes
SR1_cooling_center,Cooling Center Activation,short_run,A_spatial_effects,delta_LST_per_unit,0,0,0,"Bouchama A et al. (2007). Prognostic factors in heat wave-related deaths: a meta-analysis. Archives of Internal Medicine, 167(20), 2170-2176. DOI: 10.1001/archinte.167.20.2170. Meta-analysis of 6 case",medium,
SR1_cooling_center,Cooling Center Activation,short_run,A_spatial_effects,local_air_temp_reduction_degC,0,0,0,"Bouchama A et al. (2007). Prognostic factors in heat wave-related deaths: a meta-analysis. Archives of Internal Medicine, 167(20), 2170-2176. DOI: 10.1001/archinte.167.20.2170. Meta-analysis of 6 case",medium,
SR1_cooling_center,Cooling Center Activation,short_run,A_spatial_effects,mortality_reduction_pct_within_radius,25,45,66,"Bouchama A et al. (2007). Prognostic factors in heat wave-related deaths: a meta-analysis. Archives of Internal Medicine, 167(20), 2170-2176. DOI: 10.1001/archinte.167.20.2170. Meta-analysis of 6 case",medium,
SR1_cooling_center,Cooling Center Activation,short_run,A_spatial_effects,effect_radius_m,300,500,1000,"Bouchama A et al. (2007). Prognostic factors in heat wave-related deaths: a meta-analysis. Archives of Internal Medicine, 167(20), 2170-2176. DOI: 10.1001/archinte.167.20.2170. Meta-analysis of 6 case",medium,
SR1_cooling_center,Cooling Center Activation,short_run,A_spatial_effects,establishment_years,0,0,0,"Bouchama A et al. (2007). Prognostic factors in heat wave-related deaths: a meta-analysis. Archives of Internal Medicine, 167(20), 2170-2176. DOI: 10.1001/archinte.167.20.2170. Meta-analysis of 6 case",medium,
SR1_cooling_center,Cooling Center Activation,short_run,C_cost,cost_per_unit_usd,800,2000,5000,"US EPA (2006, updated). Excessive Heat Events Guidebook. EPA 430-B-06-005. US Environmental Protection Agency. Grey literature. City of Chicago Office of Emergency Management and Communications. Heat ",medium,lifecycle=1 yr
SR1_cooling_center,Cooling Center Activation,short_run,D_cobenefits,carbon_tCO2_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - no carbon co-benefit for cooling center activation,medium,
SR1_cooling_center,Cooling Center Activation,short_run,D_cobenefits,stormwater_m3_per_unit_per_year,0,0,0,DATA_UNAVAILABLE - no stormwater co-benefit,medium,
SR1_cooling_center,Cooling Center Activation,short_run,D_cobenefits,energy_savings_kwh_per_unit_per_year,0,0,0,,medium,
SR1_cooling_center,Cooling Center Activation,short_run,D_cobenefits,biodiversity_score,0.0,0.0,0.0,,medium,normalized 0-1 expert score
SR2_misting_station,Mobile Misting Station Deployment,short_run,A_spatial_effects,delta_LST_per_unit,0,0,0,"Hendel M, Gutierrez P, Colombert M, Diab Y, Royon L. (2016). Measuring the effects of urban heat island mitigation techniques: field measurement results for pedestrian-level air temperature. Building ",medium,
SR2_misting_station,Mobile Misting Station Deployment,short_run,A_spatial_effects,local_air_temp_reduction_degC,0.5,2.5,6.0,"Hendel M, Gutierrez P, Colombert M, Diab Y, Royon L. (2016). Measuring the effects of urban heat island mitigation techniques: field measurement results for pedestrian-level air temperature. Building ",medium,
SR2_misting_station,Mobile Misting Station Deployment,short_run,A_spatial_effects,effect_radius_m,5,15,30,"Hendel M, Gutierrez P, Colombert M, Diab Y, Royon L. (2016). Measuring the effects of urban heat island mitigation techniques: field measurement results for pedestrian-level air temperature. Building ",medium,
